Company/Initiative,Realistic & Likely to deliver  (Yes/Maybe/No),Relevant to DataCoin,URL,Description (50 words max),Twitter,White Paper,"Summary byTokenMarket, CoinSchedule or similar (if available)",Location, Raise,Comments,,,,,,,,,,,,,,,,,,,,,
Ambrosus,Maybe,No,https://ambrosus.com/index.html,blockchain for pharmaceuticals quality control,@AmbrosusAMB,https://ambrosus.com/assets/Ambrosus-White-Paper-V8-1.pdf, ,"Zug, Switzerland",,ICO not open to U.S. residents,,,,,,,,,,,,,,,,,,,,,
AMCHART,,,http://amchart.io/,"EHR solution which combines secure record keeping, incentive based wellness app, and machine learning/AI processes for proactive healthcare management.",@AMCHART4ALL,http://amchart.io/white-paper/,https://icobench.com/ico/arna-panacea,"Austin, TX","45MM USD Pre-sale, 55MM Public sale",Pre-sale open to accredited investors both US and International. Public sale March 1st-31st will not be open to US investors. Whitepaper link is also here: https://docsend.com/view/zdq4jfi,,,,,,,,,,,,,,,,,,,,,
ARNA Panacea,No,No,https://token.arnagenomics.com/,a solution which provides to participants in the cancer diagnosis market with a new way of accessing and interacting with the system for collecting and storing medical research data,@ArnaGenomics,https://token.arnagenomics.com/ARNA_whitepaper_en.pdf,https://tokenmarket.net/blockchain/ethereum/assets/arna-panacea/,Russia,,,,,,,,,,,,,,,,,,,,,,,
Beat,,,https://beat.org,"a state-of-the-art blockchain platform that safekeeps your data and allows you to share it with sports sponsors, talent scouts, doctors, insurance companies and many more to unlock the vast potential hidden in your health and fitness data ",,https://beat.org/beat_whitepaper.pdf,,"Hamburg, Germany",,,,,,,,,,,,,,,,,,,,,,,
Bitmark,Yes,Possible Utility,https://bitmark.com,Bitmark is a universal system for digital property rights,@BitmarkInc,https://bitmark.com/resources/white-papers,,,,,,,,,,,,,,,,,,,,,,,,,
BlockMedx,Maybe ,No,www.blockmedx.com,building a solution to end the opioid crisis.  cryptographically secure e-prescribing platform on the Ethereum blockchain with integrated machine learning algorithms. ,@blockmedx,info@blockmedx.com,,"Lexington, KY, USA",,"private pre-sale is now open, public pre-sale to open later in December",,,,,,,,,,,,,,,,,,,,,
BlockRx,Maybe,No,https://www.blockrx.com/,"the platform is a comprehensive solution to fully integrate life science researchers, biopharma, medical device manufactures, and healthcare providers to improve patient outcomes",@BlockRxProject,https://www.blockrx.com/wp-content/uploads/2017/10/Whitepaper-Design-Extended.pdf, ,"Philadelphia, Pennsylvania, USA",,,,,,,,,,,,,,,,,,,,,,,
BowheadHealth,No,Yes,https://bowheadhealth.com/,platform comprises of the Bowhead hardware device which monitors a customer's biometric data to dispense personalized medicine and supplements. ,@bowheadhealth,https://drive.google.com/drive/u/1/folders/0B2CimLH8gflNMzY0WEFhRlBxSlU,https://tokenmarket.net/blockchain/waves/assets/bowhead-health/,Singapore,,,,,,,,,,,,,,,,,,,,,,,
BurstIQ,Maybe,Yes,https://www.burstiq.com/,"platform leverages blockchain and machine intelligence to enable data from disparate sources to be brought together in a single, unified data repository, and to be shared quickly and easily",@BurstIQ,https://www.burstiq.com/wp-content/uploads/2017/08/BurstIQ-whitepaper_19Jul2017reduced.pdf,https://www.coinschedule.com/icos/e839/burstiq-crowdsale.html,"Denver, Colorado, USA",,,,,,,,,,,,,,,,,,,,,,,
Care4Me,Maybe,No,https://carefourme.com/,a peer-2-peer platform that brings nurses and individuals in need of care management services together,@Care4me_,https://carefourme.com/wp-content/uploads/2017/07/Care-Coin-White-Papers-v1.0.pdf, ,"Miama, Florida, USA",,,,,,,,,,,,,,,,,,,,,,,
CareX Blockchain Platform,,,https://carex.tech/,"The CareX blockchain platform consists of a health records vault, a health services marketplace and an AI trained chat bot for medical service interactions. An ERC20 based token currency (CARE) can be used on the CareX platform for the purchase and sale of health care services.",@carexblockchain,https://icobench.com/ico/carex,https://carex.tech/docs/whitepaper.pdf,"Bellaire, Texas, USA",,,,,,,,,,,,,,,,,,,,,,,
Citizen Health,,,https://citizenhealth.io/,a peer-to-peer health economy powered by the Ethereum blockchain and Medit Token; direct pay/subscription based health cooperative that is owned and controlled by the people & physicians.,@CitizenHealthio,,,USA,,,,,,,,,,,,,,,,,,,,,,,
Clinicoin,,,https://clinicoin.io/en,"Clinicoin is a blockchain platform that pays you to be healthy and
connects you with people who help keep you that way",@clinicoin,https://www.mosio.com/noidx/Clinicoin_Whitepaper_2018.pdf,,"Seattle, WA",,,,,,,,,,,,,,,,,,,,,,,
CoinHealth,,,https://coinhealth.io/,"Coinhealth’s mobile platform will allow both patient and provider instant and secure access to data or medical records, verification, and payment solutions. Coinhealth is the first cryptocurrency to offer health savings and flexible spending investments.",@coinhealth1,https://icobench.com/ico/coinhealth,http://coinhealth.io/wp-content/uploads/2017/11/CH-Whitepaper-Revised-11_18_17.pdf,"Dallas, Texas, USA",,,,,,,,,,,,,,,,,,,,,,,
CoralHealth,,,https://mycoralhealth.com,"Fueled by decentralized ledger technologies, Coral Health aims to align the interests of different players in the healthcare ecosystem. Personalized medicine leveraging the Blockchain has the potential to be one of the most dramatic healthcare innovations of our lifetimes.",@myCoralHealth,https://docsend.com/view/4xdqkp6,,"Vancouver, Canada",,,,,,,,,,,,,,,,,,,,,,,
Cryogen,,,https://en.cryogen.me/,CryoGen is a European cryonics development project creating technologies for reversible freezing of donor organs and organisms for the purpose of life extension and long space flights.,@ICOcryogen,https://icobench.com/ico/cryogen,https://cryogen.me/files/cryogen-WP.pdf,Russia,,,,,,,,,,,,,,,,,,,,,,,
CureCoin,,,https://curecoin.net/,#1 rank on Stanford's Folding@home - a protein folding simulation Distributed Computing Network,@Curecoin_Team,,http://folding.stanford.edu/2014/01/24/papers-page-updated/,USA,,,,,,,,,,,,,,,,,,,,,,,
CoverUs,Maybe,Yes,https://www.coverus.io/,"securely and anonymously broker your health data to interested parties,",@CoverUSHealth,,,,,,,,,,,,,,,,,,,,,,,,,,
Datum,Yes,Yes,https://datum.org,Datum is a decentralized and distributed high performance NoSQL database backed by a blockchain ledger. Datum provides a marketplace where users can share or sell data on their own terms.,@datumnetwork,https://datum.org/assets/Datum-WhitePaper.pdf,https://tokenmarket.net/blockchain/ethereum/assets/datum-network/,"Switzerland, Hong Kong, Singapore",,,,,,,,,,,,,,,,,,,,,,,
Dentacoin,Yes,No,https://www.dentacoin.com/,blockchain solution for the global dental industry; an Ethereum-based blockchain platform regulated by smart contracts,@dentacoin,https://www.dentacoin.com/white-paper/Whitepaper-en.pdf,https://www.coinschedule.com/icos/e781/dentacoin-ico.html,The Netherlands,,,,,,,,,,,,,,,,,,,,,,,
DentalFix,No,No,http://www.che-ss.com/dentalfix-ico/,blockchain company for Dental clinics and the supply chain.,@DentalfixK,https://drive.google.com/file/d/0B2-rqxQ4OfPEV3FkYjNON3lYX3M/view,https://tokenmarket.net/blockchain/blockchain/assets/dentalfix/,Russia,,,,,,,,,,,,,,,,,,,,,,,
Digipharm,,,www.digipharm.ch,"transforming market access, innovative pricing and personalised reimbursement, and the worlds first 'live' RWE respository",@digipharmteam,release 01/2018,,"Zug, Switzerland",,,,,,,,,,,,,,,,,,,,,,,
Doc Coin,,,https://www.doc-coin.com/,a blockchain protocol for Telehealth. Users can get specialist advice 24 hours a day 7 days a week anywhere in the world in any language.,@Doc_Coin,https://www.doc-coin.com/white-paper-eng,https://icobench.com/ico/doc-coin,Russia,,,,,,,,,,,,,,,,,,,,,,,
doc.ai,No,Yes,https://doc.ai/,"a conversational AI-powered platform for on-demand, quantified biology",@_doc_ai,https://s3-us-west-1.amazonaws.com/ai.doc.static/pdf/whitepaper.pdf?_t=1508776745697,https://tokenmarket.net/blockchain/ethereum/assets/doc-ai/,"Palo Alto, California, USA",,,,,,,,,,,,,,,,,,,,,,,
ELCoin,,,https://elcoin.io/,Blockchain intelligent medicine--The goal of the project is to combine innovative developments in the field of production of medical equipment and modern blockchain technologies.,@ELCOIN_IO,https://elcoin.io/White_Paper%200.9_v3.pdf,https://icobench.com/ico/elcoin,"Riga, Latvia",,,,,,,,,,,,,,,,,,,,,,,
