Name,logo_source,raise,repo_url,demo_url,funding_method,symbol,platform,URL,description,Category,twitter_handle,ts_url,Location
Ambrosus,https://d33wubrfki0l68.cloudfront.net/9e1fb050865401a69f27b46683de38626a9372d0/9efc0/assets/logo-color-2.png,63,https://github.com/ambrosus,-,ICO,AMB,ERC20,https://ambrosus.com/index.html,blockchain for pharmaceuticals quality control,Supply Chain,@AmbrosusAMB,https://ambrosus.com/assets/Ambrosus-White-Paper-V8-1.pdf,"Zug, Switzerland"
AMCHART,https://amchart.io/wp-content/themes/amchart/images/logos/logo.png,45,-,-,ICO,AMC,ERC20,http://amchart.io/,"EHR solution which combines secure record keeping, incentive based wellness app, and machine learning/AI processes for proactive healthcare management.",Ownership,@AMCHART4ALL,http://amchart.io/white-paper/,"Austin, TX"
ARNA Panacea,https://token.arnagenomics.com/wp-content/uploads/2018/01/logo-min.png,0.45,-,-,-,ARNA,ERC20,https://token.arnagenomics.com/,a solution which provides to participants in the cancer diagnosis market with a new way of accessing and interacting with the system for collecting and storing medical research data,Marketplace,@ArnaGenomics,https://token.arnagenomics.com/ARNA_whitepaper_en.pdf,Russia
Beat,https://beat.org/img/logo-light.svg,22,-,-,ICO,BEAT,ERC20,https://beat.org,"a state-of-the-art blockchain platform that safekeeps your data and allows you to share it with sports sponsors, talent scouts, doctors, insurance companies and many more to unlock the vast potential hidden in your health and fitness data ",Ownership,-,https://beat.org/beat_whitepaper.pdf,"Hamburg, Germany"
Bitmark,https://bitmark.com/assets/img/logo-header.svg,1.7,https://github.com/project-bitmark/bitmark,-,SEED,BTM,BTC,https://bitmark.com,Bitmark is a universal system for digital property rights,Ownership,@BitmarkInc,https://bitmark.com/resources/white-papers,-
BlockMedx,https://www.blockmedx.com/images/footer_logo.svg,-,https://github.com/blockmedx,https://www.blockmedx.com/prototype/login.html,ICO,MDX,ERC20,www.blockmedx.com,building a solution to end the opioid crisis.  cryptographically secure e-prescribing platform on the Ethereum blockchain with integrated machine learning algorithms. ,Supply Chain,@blockmedx,info@blockmedx.com,"Lexington, KY, USA"
BlockRx,https://www.blockrx.com/wp-content/uploads/2017/07/mark-2-darker.png,-,-,https://www.youtube.com/watch?time_continue=1&v=Y-EEym5xv2Q,ICO,BKRx,-,https://www.blockrx.com/,"the platform is a comprehensive solution to fully integrate life science researchers, biopharma, medical device manufactures, and healthcare providers to improve patient outcomes",Supply Chain,@BlockRxProject,https://www.blockrx.com/wp-content/uploads/2017/10/Whitepaper-Design-Extended.pdf,"Philadelphia, Pennsylvania, USA"
BowheadHealth,https://bowheadhealth.com/images/uploads/bowhead.png,1,-,-,ICO,AHT,ERC20,https://bowheadhealth.com/,platform comprises of the Bowhead hardware device which monitors a customer's biometric data to dispense personalized medicine and supplements. ,Supply Chain,@bowheadhealth,https://drive.google.com/drive/u/1/folders/0B2CimLH8gflNMzY0WEFhRlBxSlU,Singapore
BurstIQ,https://www.burstiq.com/wp-content/uploads/2016/01/burstIQ-logo-retina.png,5,https://github.com/BurstIQ,https://www.youtube.com/watch?v=SWxlOzxp0b8,SEED,BiQ,-,https://www.burstiq.com/,"platform leverages blockchain and machine intelligence to enable data from disparate sources to be brought together in a single, unified data repository, and to be shared quickly and easily",Marketplace,@BurstIQ,https://www.burstiq.com/wp-content/uploads/2017/08/BurstIQ-whitepaper_19Jul2017reduced.pdf,"Denver, Colorado, USA"
Care4Me,https://carefourme.com/wp-content/uploads/thegem-logos/logo_e68cad3508180ab819fb9e28801b83b8_2x.png,-,https://github.com/care4me,https://care4me.wilderbase.com/,,-,ERC20,https://carefourme.com/,a peer-2-peer platform that brings nurses and individuals in need of care management services together,Marketplace,@Care4me_,https://carefourme.com/wp-content/uploads/2017/07/Care-Coin-White-Papers-v1.0.pdf,"Miama, Florida, USA"
CareX Blockchain Platform,https://carex.tech/assets/images/logo.png,10,https://github.com/CareXTech,https://www.youtube.com/watch?v=n5lAHqmJriQ,ICO,CARE,ERC20,https://carex.tech/,"The CareX blockchain platform consists of a health records vault, a health services marketplace and an AI trained chat bot for medical service interactions. An ERC20 based token currency (CARE) can be used on the CareX platform for the purchase and sale of health care services.",Marketplace,@carexblockchain,https://icobench.com/ico/carex,"Bellaire, Texas, USA"
Citizen Health,https://citizenhealth.io/wp-content/uploads/2017/09/citizen-health-dark-logo-214x60.png,-,-,-,ICO,MDX,ERC20,https://citizenhealth.io/,a peer-to-peer health economy powered by the Ethereum blockchain and Medit Token; direct pay/subscription based health cooperative that is owned and controlled by the people & physicians.,Marketplace,@CitizenHealthio,-,USA
Clinicoin,https://doc.ai/images/logo.svg,-,https://github.com/clinicoin/,-,ICO,CLIN,ERC20,https://clinicoin.io/en,"Clinicoin is a blockchain platform that pays you to be healthy and
connects you with people who help keep you that way",Ownership,@clinicoin,https://www.mosio.com/noidx/Clinicoin_Whitepaper_2018.pdf,"Seattle, WA"
CoinHealth,https://bitcoincryptocurrency.com/wp-content/uploads/2018/01/coinhealth-696x449.jpg,0.1,https://github.com/CoinHealth/CoinHealth,-,ICO,COINHEALTH,WAVES,https://coinhealth.io/,"Coinhealth’s mobile platform will allow both patient and provider instant and secure access to data or medical records, verification, and payment solutions. Coinhealth is the first cryptocurrency to offer health savings and flexible spending investments.",Ownership,@coinhealth1,https://icobench.com/ico/coinhealth,"Dallas, Texas, USA"
CoralHealth,https://cdn-images-1.medium.com/max/1600/1*qpL3FUGULJ8rmxVD0BEtew.png,-,https://github.com/mycoralhealth,https://tips.mycoralhealth.com/,-,-,-,https://mycoralhealth.com,"Fueled by decentralized ledger technologies, Coral Health aims to align the interests of different players in the healthcare ecosystem. Personalized medicine leveraging the Blockchain has the potential to be one of the most dramatic healthcare innovations of our lifetimes.",Marketplace,@myCoralHealth,https://docsend.com/view/4xdqkp6,"Vancouver, Canada"
Cryogen,http://kriorus.ru/sites/kriorus/files/beb8f88c-98d3-4526-ade2-143453cf2688.png,2.5,-,https://www.youtube.com/watch?v=OsaIqiLnzRo,ICO,CRYO,ERC20,https://en.cryogen.me/,CryoGen is a European cryonics development project creating technologies for reversible freezing of donor organs and organisms for the purpose of life extension and long space flights.,Services,@ICOcryogen,https://icobench.com/ico/cryogen,Russia
